S.No,Headline,Section,Category,Link
1,"Charlie Kirk suspect confessed in hidden note to roommate, prosecutors allege",Articles,World,https://www.bbc.com/news/articles/ckg2r8lvjn2o
2,'The bombing has been insane': Palestinians scramble to flee Israeli assault on Gaza City,Articles,World,https://www.bbc.com/news/articles/cly0qnnx5w5o
3,Canadian writer Robert Munsch approved for assisted dying,Articles,World,https://www.bbc.com/news/articles/c931y04jg1vo
4,Syria's worst drought in decades pushes millions to the brink,Articles,World,https://www.bbc.com/news/articles/c70x500lkdno
5,Judge dismisses terrorism charges against Luigi Mangione,Articles,World,https://www.bbc.com/news/articles/cj4y2p8qq5qo
6,'The bombing has been insane': Palestinians scramble to flee Israeli assault on Gaza City,Articles,World,https://www.bbc.com/news/articles/cly0qnnx5w5o
7,"Israel has committed genocide in Gaza, UN commission of inquiry says",Articles,World,https://www.bbc.com/news/articles/c8641wv0n4go
8,Acting legend Robert Redford dies aged 89,Articles,World,https://www.bbc.com/news/articles/c1dqe9ey0kgo
9,Canadian writer Robert Munsch approved for assisted dying,Articles,World,https://www.bbc.com/news/articles/c931y04jg1vo
10,Coup plot charges for former Romanian presidential candidate,Articles,World,https://www.bbc.com/news/articles/c4g5ky0vex8o
11,Malawians await presidential poll result in vote dominated by economic woes,Articles,World,https://www.bbc.com/news/articles/c5y56req0g1o
12,Chinese-linked mining firms sued over 'ecological catastrophe' in Zambia,Articles,World,https://www.bbc.com/news/articles/cy7p51l60rro
13,Kenya issues arrest warrant for British national over young mother's murder,Articles,World,https://www.bbc.com/news/articles/cwywng4jp08o
14,Fears balloon of a return to civil war in South Sudan over treason trial,Articles,World,https://www.bbc.com/news/articles/c7933p4xe7po
15,Bowen: UN commission report on genocide is blunt indictment of Israel's actions in Gaza,Articles,World,https://www.bbc.com/news/articles/c0m4rxjppl8o
16,'The hungry can't stay silent' - behind deadly protests in oil-rich Angola,Articles,World,https://www.bbc.com/news/articles/c8ex6k88yy9o
17,'The bombing has been insane': Palestinians scramble to flee Israeli assault on Gaza City,Articles,World,https://www.bbc.com/news/articles/cly0qnnx5w5o
18,Beaten and held in Russia for three years - but never charged with a crime,Articles,World,https://www.bbc.com/news/articles/cm28674vnp6o
19,Trump's state visit is mired with potential pitfalls despite careful planning,Articles,World,https://www.bbc.com/news/articles/c4gw25w9841o
20,Watch/Listen,General,World,N/A
21,"'Completely different, yet genuinely get on' - BBC correspondents on Starmer and Trump",Videos,World,https://www.bbc.com/news/videos/c9dxq447dwvo
22,Watch: The Sundance Kid's life in the spotlight,Videos,World,https://www.bbc.com/news/videos/ce9rvmk8xdzo
23,Watch: Bear caught on CCTV searching for food in Indian temple,Videos,World,https://www.bbc.com/news/videos/c9dxq3n2pdqo
24,Watch: JD Vance hosts Charlie Kirk's daily talk radio show,Videos,World,https://www.bbc.com/news/videos/ckge487nr6ro
25,Israel demolishes more high-rise towers as Gaza City offensive ramps up,Videos,World,https://www.bbc.com/news/videos/cr5q8mj6nrvo
26,Latest updates,General,World,N/A
27,'The hungry can't stay silent' - behind deadly protests in oil-rich Angola,Articles,World,https://www.bbc.com/news/articles/c8ex6k88yy9o
28,Canadian writer Robert Munsch approved for assisted dying,Articles,World,https://www.bbc.com/news/articles/c931y04jg1vo
29,Syria's worst drought in decades pushes millions to the brink,Articles,World,https://www.bbc.com/news/articles/c70x500lkdno
30,Watch: Key takeaways from Charlie Kirk suspect's first court appearance,Videos,World,https://www.bbc.com/news/videos/cvgj59p3v7po
31,"Charlie Kirk suspect confessed in hidden note to roommate, prosecutors allege",Articles,World,https://www.bbc.com/news/articles/ckg2r8lvjn2o
32,Read the text messages between Charlie Kirk suspect and roommate,Articles,World,https://www.bbc.com/news/articles/c99g1e0z2ero
33,"Man falsely claimed he shot Kirk to distract from real gunman, police say",Articles,World,https://www.bbc.com/news/articles/c20e1jx0p5jo
34,Why the US is expected to cut interest rates,Articles,World,https://www.bbc.com/news/articles/c3e75y90pw0o
35,Politicians get rich while we suffer - so I helped bring down our government in 48 hours,Articles,World,https://www.bbc.com/news/articles/cvg9n760gddo
36,Why the US is expected to cut interest rates,Articles,Business,https://www.bbc.com/news/articles/c3e75y90pw0o
37,"AI could boost UK economy by 10% in five years, says Microsoft boss",Articles,Business,https://www.bbc.com/news/articles/c7016ljre03o
38,Sign up to World of Business,Cloud.email.bbc.com,Business,https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned
39,Chinese-linked mining firms sued over 'ecological catastrophe' in Zambia,Articles,Business,https://www.bbc.com/news/articles/cy7p51l60rro
40,Sky to cut 600 UK jobs in streaming move plans,Articles,Business,https://www.bbc.com/news/articles/cpd945gv7z1o
41,"AI could boost UK economy by 10% in five years, says Microsoft boss",Articles,Business,https://www.bbc.com/news/articles/c7016ljre03o
42,Trump clashes with Australian journalist over business deals in office,Articles,Business,https://www.bbc.com/news/articles/c9qn0zzqxvxo
43,"US officers tied us up and pointed guns at us, South Korean engineers tell BBC",Articles,Business,https://www.bbc.com/news/articles/c07v1j98ydvo
44,"Deal is done to keep TikTok in the US, says Trump",Articles,Business,https://www.bbc.com/news/articles/c7847q9xvwgo
45,Sign up to World of Business,Cloud.email.bbc.com,Business,https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned
46,Latest audio,Www.bbc.com,Business,https://www.bbc.com/audio/category/business
47,Business Daily,Play,Business,https://www.bbc.com/audio/play/w3ct6scn
48,Business Daily,Play,Business,https://www.bbc.com/audio/play/w3ct6s74
49,Business Daily,Play,Business,https://www.bbc.com/audio/play/w3ct6ry3
50,Business Daily,Play,Business,https://www.bbc.com/audio/play/w3ct6s2l
