S.No,Headline,Source,Link,Category
1,'Could have stayed silent': Ian Bremmer praises PM Modi 'defying' Trump; how it had positive impact,TOI,https://timesofindia.indiatimes.com/india/could-have-stayed-silent-ian-bremmer-praises-pm-modi-defying-trump-how-it-had-positive-impact/articleshow/123997468.cms,India
2,UP: Cyber fraud racket busted; 2 held for extorting Rs 33 lakh from retired engineer,TOI,https://timesofindia.indiatimes.com/india/up-cyber-fraud-racket-busted-2-held-for-extorting-rs-33-lakh-from-retired-engineer/articleshow/123997431.cms,India
3,"'Will render all possible assistance': MEA on Indian student shot dead in US, says probe under way",TOI,https://timesofindia.indiatimes.com/india/will-render-all-possible-assistance-mea-on-indian-student-shot-dead-in-us-says-probe-under-way/articleshow/123996925.cms,India
4,‘No faith in Constitution’: Fadnavis targets Rahul Gandhi over Gen Z post; terms him 'urban maoist',TOI,https://timesofindia.indiatimes.com/india/no-faith-in-constitution-fadnavis-targets-rahul-gandhi-over-gen-z-post-terms-him-urban-maoist/articleshow/123996897.cms,India
5,‘Mutual interests & sensitivities’: India reacts to Saudi-Pakistan defence pact; stresses 'wide-ranging strategic partnership' with Riyadh,TOI,https://timesofindia.indiatimes.com/india/mutual-interests-sensitivities-india-reacts-to-saudi-pakistan-defence-pact-stresses-wide-ranging-strategic-partnership-with-riyadh/articleshow/123997160.cms,India
6,'Such statements make it even more clearer': MEA on Jaish commander's admission; points out Pak state-terrorists nexus,TOI,https://timesofindia.indiatimes.com/india/such-statements-make-it-even-more-clearer-mea-on-jaish-commanders-admission-points-out-pak-state-terrorists-nexus/articleshow/123997102.cms,India
7,"Hardeep Puri, committee submit recommendations to PM Modi for safekeeping of Sikh relic 'Jore Sahib'",TOI,https://timesofindia.indiatimes.com/india/hardeep-puri-committee-submit-recommendations-to-pm-modi-for-safekeeping-of-sikh-relic-jore-sahib/articleshow/123997040.cms,India
8,"Assam CM Himanta Biswa Sarma mourns Singer Zubeen Garg’s death, calls him ‘Assam’s favourite rockstar’",TOI,https://timesofindia.indiatimes.com/india/assam-cm-himanta-biswa-sarma-mourns-zubeen-gargs-death-calls-him-assams-favourite-rockstar/articleshow/123996813.cms,India
9,'Silence is acceptance': BJP slams Congress over Sam Pitroda's ‘felt at home in Pakistan’ remark; cites Yasin Malik,TOI,https://timesofindia.indiatimes.com/india/silence-is-acceptance-bjp-slams-congress-over-sam-pitrodas-felt-at-home-in-pakistan-remark-cites-yasin-malik/articleshow/123995575.cms,India
10,'Conflict has a price': Air Force chief reveals why India paused Operation Sindoor so soon; & a 'lesson' for world,TOI,https://timesofindia.indiatimes.com/india/why-should-we-carry-on-air-force-chief-reveals-why-india-paused-operation-sindoor-so-soon-a-lesson-for-world/articleshow/123996461.cms,India
11,"Pahalgam attack: NIA court extends custody by 45 days; accused's forensic, DNA and mobile data reports awaited",TOI,https://timesofindia.indiatimes.com/india/pahalgam-attack-nia-court-extends-custody-by-45-days-accuseds-forensic-dna-and-mobile-data-reports-awaited/articleshow/123995189.cms,India
12,Mysuru Dasara row: SC junks plea over Banu Mushtaq invite; what it said,TOI,https://timesofindia.indiatimes.com/india/mysuru-dasara-row-sc-junks-plea-over-banu-mushtaq-invite-what-it-said/articleshow/123993594.cms,India
13,"'Wake up at 4am, delete 2 voters': Rahul Gandhi's 'chunaav ka chaukidaar' jibe amid 'vote chori' claims; BJP hits back",TOI,https://timesofindia.indiatimes.com/india/wake-up-at-4am-delete-2-voters-rahul-gandhis-chunaav-ka-chaukidaar-jibe-amid-vote-chori-claims-bjp-hits-back/articleshow/123994353.cms,India
14,'Racist white American mentality has to end': Indian techie's last LinkedIn post before being shot dead by US police; alleged workplace harassment,TOI,https://timesofindia.indiatimes.com/india/racist-white-american-mentality-has-to-end-indian-techies-last-linkedin-post-before-being-shot-dead-by-us-police-alleged-workplace-harassment/articleshow/123992059.cms,India
15,Watch: PM Modi plants a Kadamb sapling; King Charles gifted it on his birthday,TOI,https://timesofindia.indiatimes.com/india/watch-pm-modi-plants-a-kadamb-sapling-king-charles-gifted-it-on-his-birthday/articleshow/123993445.cms,India
16,"'Been to Pakistan, felt at home': Sam Pitroda lands in fresh row; this time over his foreign policy advise",TOI,https://timesofindia.indiatimes.com/india/been-to-pakistan-felt-at-home-sam-pitroda-lands-in-fresh-row-this-time-over-his-foreign-policy-advise/articleshow/123992936.cms,India
17,'Manmohan Singh conveyed his gratitude': Yasin Malik claims ex-PM thanked him for meeting Hafiz Saeed; submits affidavit in Delhi high court,TOI,https://timesofindia.indiatimes.com/india/manmohan-singh-conveyed-his-gratitude-yasin-malik-claims-ex-pm-thanked-him-for-meeting-hafiz-saeed-submits-affidavit-in-delhi-high-court/articleshow/123991374.cms,India
18,"Slaps, punches and pushes: iPhone 17 frenzy turns violent at Mumbai Apple store - watch video",TOI,https://timesofindia.indiatimes.com/india/slaps-punches-and-pushes-iphone-17-frenzy-turns-violent-at-mumbai-apple-store-watch-video/articleshow/123991524.cms,India
19,"Indian techie shot dead by US police: What cops claim, what kin allege - 10 things to know about the incident",TOI,https://timesofindia.indiatimes.com/india/indian-student-shot-dead-by-us-police-what-cops-claim-what-kin-allege-10-things-to-know-about-the-incident/articleshow/123988190.cms,India
20,"'Will render all possible assistance': MEA on Indian student shot dead in US, says probe under way",TOI,https://timesofindia.indiatimes.com/india/will-render-all-possible-assistance-mea-on-indian-student-shot-dead-in-us-says-probe-under-way/articleshow/123996925.cms,World
21,How Indian workers can tap job opportunities in Saudi Arabia’s Vision 2030 Mega-Projects,TOI,https://timesofindia.indiatimes.com/world/middle-east/how-indian-workers-can-tap-job-opportunities-in-saudi-arabias-vision-2030-mega-projects/articleshow/123993534.cms,World
22,"Thinking of buying a car in Saudi Arabia as an expat? How to register, eligibility, documents: All you need to know",TOI,https://timesofindia.indiatimes.com/world/middle-east/thinking-of-buying-a-car-in-saudi-arabia-as-an-expat-how-to-register-eligibility-documents-all-you-need-to-know/articleshow/123994911.cms,World
23,'Bitten off more than he can chew': UK spy chief says Putin not interested in peace; slams him for hollow claims,TOI,https://timesofindia.indiatimes.com/world/uk/bitten-off-more-than-he-can-chew-uk-spy-chief-says-putin-not-interested-in-peace-slams-him-for-hollow-claims/articleshow/123995705.cms,World
24,‘Good boy’ saves himself: Dog leads Illinois cop to leash during dramatic house fire rescue | Watch,TOI,https://timesofindia.indiatimes.com/world/us/good-boy-saves-himself-dog-leads-illinois-cop-to-leash-during-dramatic-house-fire-rescue-watch/articleshow/123995568.cms,World
25,UAE opens call for creatives to design official 54th Eid Al Etihad merchandise,TOI,https://timesofindia.indiatimes.com/world/middle-east/uae-opens-call-for-creatives-to-design-official-54th-eid-al-etihad-merchandise/articleshow/123994571.cms,World
26,"Nepal violence: Oli denies shootout order, says 'bullets were fired from automatic guns not with police'",TOI,https://timesofindia.indiatimes.com/world/south-asia/bullets-were-fired-from-automatic-guns-not-with-police-k-p-sharma-oli-denies-shootout-order/articleshow/123995312.cms,World
27,"11 killed in separate blasts in Pakistan’s Balochistan, insurgent group claims one attack",TOI,https://timesofindia.indiatimes.com/world/pakistan/11-killed-in-separate-blasts-in-pakistans-balochistan-insurgent-group-claims-one-attack/articleshow/123994921.cms,World
28,"What is Saudi Arabia’s Digital Riyal : What’s coming, when, and why it matters, explained",TOI,https://timesofindia.indiatimes.com/world/middle-east/what-is-saudi-arabias-digital-riyal-whats-coming-when-and-why-it-mattersexplained/articleshow/123991723.cms,World
29,Brenner Tunnel under the Alps: How Europe’s longest rail project will reshape connectivity between Italy and Austria,TOI,https://timesofindia.indiatimes.com/world/rest-of-world/brenner-tunnel-under-the-alps-how-europes-longest-rail-project-will-reshape-connectivity-between-italy-and-austria/articleshow/123994075.cms,World
30,"World's longest rivers: Know lengths, locations, and interesting facts",TOI,https://timesofindia.indiatimes.com/world/rest-of-world/worlds-longest-rivers-know-lengths-locations-and-interesting-facts/articleshow/123994301.cms,World
31,How to get a Saudi driving license: A complete guide for foreign residents not eligible for direct conversion,TOI,https://timesofindia.indiatimes.com/world/middle-east/how-to-get-a-saudi-driving-license-a-complete-guide-for-foreign-residents-not-eligible-for-direct-conversion/articleshow/123992144.cms,World
32,Saudi Arabia declares September 23 a public holiday for 95th National Day,TOI,https://timesofindia.indiatimes.com/world/middle-east/saudi-arabia-declares-september-23-a-public-holiday-for-95th-national-day/articleshow/123991019.cms,World
33,Washington horror: Human remains found in search for Travis Decker; man accused of killing his 3 daughters,TOI,https://timesofindia.indiatimes.com/world/us/washington-horror-human-remains-found-in-search-for-travis-decker-man-accused-of-killing-his-3-daughters/articleshow/123991883.cms,World
