S.No,Headline,Source,Link,Category
1,HIV jab for 115 nations rests on Indian regulators,TOI,https://timesofindia.indiatimes.com/india/hiv-jab-for-115-nations-rests-on-indian-regulators/articleshow/124199149.cms,India
2,Illegal betting: ED may attach assets of celebs,TOI,https://timesofindia.indiatimes.com/india/illegal-betting-ed-may-attach-assets-of-celebs/articleshow/124202344.cms,India
3,"Cancer cases in India up by 26%, deaths 21% since 1990",TOI,https://timesofindia.indiatimes.com/india/cancer-cases-in-india-up-by-26-deaths-21-since-1990/articleshow/124202330.cms,India
4,Man roped in teen son to kill property dealer over 9-yr feud,TOI,https://timesofindia.indiatimes.com/india/man-roped-in-teen-son-to-kill-property-dealer-over-9-yr-feud/articleshow/124202245.cms,India
5,"EC to deploy 470 officers for Bihar election, bypolls",TOI,https://timesofindia.indiatimes.com/india/ec-to-deploy-470-officers-for-bihar-election-bypolls/articleshow/124202098.cms,India
6,UAE remains top destination for Indians' outbound travel,TOI,https://timesofindia.indiatimes.com/india/uae-remains-top-destination-for-indians-outbound-travel/articleshow/124201525.cms,India
7,India's strained ties with US won't hit our relations: Russia,TOI,https://timesofindia.indiatimes.com/india/indias-strained-ties-with-us-wont-hit-our-relations-russia/articleshow/124200934.cms,India
8,Govt trying to get Chhath Puja on Unesco list: PM Modi before Bihar polls,TOI,https://timesofindia.indiatimes.com/india/people-can-witness-chhath-divinity-if-it-gets-unesco-tag-pm-modi/articleshow/124200585.cms,India
9,"Spirit of 'nation first' paramount for RSS volunteers, says PM Modi",TOI,https://timesofindia.indiatimes.com/india/spirit-of-nation-first-paramount-for-rss-volunteers-says-pm-modi/articleshow/124200571.cms,India
10,Congress writes to home minister over 'death threat' to Rahul Gandhi,TOI,https://timesofindia.indiatimes.com/india/congress-writes-to-home-minister-over-death-threat-to-rahul-gandhi/articleshow/124200459.cms,India
11,"Making of tragedy: Vijay's late entry, roadshow & payday rush",TOI,https://timesofindia.indiatimes.com/india/making-of-tragedy-vijays-late-entry-roadshow-payday-rush/articleshow/124200384.cms,India
12,"Ladakh's people, traditions under attack, says Rahul Gandhi",TOI,https://timesofindia.indiatimes.com/india/ladakhs-people-traditions-under-attack-says-rahul-gandhi/articleshow/124200374.cms,India
13,Rs 355 crore sale marks new high for Indian art market,TOI,https://timesofindia.indiatimes.com/india/rs-355-crore-sale-marks-new-high-for-indian-art-market/articleshow/124200368.cms,India
14,PM Modi pays tributes to cultural icons,TOI,https://timesofindia.indiatimes.com/india/pm-modi-pays-tributes-to-cultural-icons/articleshow/124200367.cms,India
15,Zubeen was 'Kohinoor of Assamese culture': PM Modi,TOI,https://timesofindia.indiatimes.com/india/zubeen-was-kohinoor-of-assamese-culture-pm-modi/articleshow/124200362.cms,India
16,Immigration gets faster with e-arrival cards from October 1,TOI,https://timesofindia.indiatimes.com/india/immigration-gets-faster-with-e-arrival-cards-from-october-1/articleshow/124200355.cms,India
17,"Amit Shah rejects Naxals' truce offer, vows menace will end in March",TOI,https://timesofindia.indiatimes.com/india/amit-shah-rejects-naxals-truce-offer-vows-menace-will-end-in-march/articleshow/124200346.cms,India
18,"Govt proposes acoustic alert system for EVs, excluding 2- & 3-wheelers, from 2027",TOI,https://timesofindia.indiatimes.com/india/govt-proposes-acoustic-alert-system-for-evs-excluding-2-3-wheelers-from-2027/articleshow/124200222.cms,India
